,Industry_Name,Vehicle_Type,Survey
0,Industrial,DA,0.24286735562804163
1,Industrial,LHD,0.24830718331669335
2,Industrial,MHD,0.2367682903341045
3,Industrial,HHD,0.27205717072116054
4,Wholesale,DA,0.3553529384039396
5,Wholesale,LHD,0.27186077439862144
6,Wholesale,MHD,0.04378261188096375
7,Wholesale,HHD,0.3290036753164751
8,Retail,DA,0.43691391562639037
9,Retail,LHD,0.41721001917042405
10,Retail,MHD,0.040417473348717
11,Retail,HHD,0.10545859185446868
12,Service/Gov/Office/FA,DA,0.5846284235408765
13,Service/Gov/Office/FA,LHD,0.2929017186753278
14,Service/Gov/Office/FA,MHD,0.0752579380624383
15,Service/Gov/Office/FA,HHD,0.04721191972135734
16,Transport,DA,0.374129010401221
17,Transport,LHD,0.16349124352406233
18,Transport,MHD,0.10630707680043261
19,Transport,HHD,0.35607266927428416
